campus_id_code,campus_name
16,ARCHIBISHOP JANANI LUWUM THEOLOGICAL COLLEGE
4,ARUA CAMPUS
17,BISHOP ALISON THEOLOGICAL COLLEGE
5,BISHOP BARHAM UNIVERSITY COLLEGE KABALE
11,BISHOP MCALLISTER COLLEGE KYOGYERA
12,INSTITUTE OF PETROLEUM STUDIES KAMPALA
18,INTERNATIONAL CHRISTIAN MEDICAL INSTITUTE
9,KABALEGA COLLEGE MASINDI
8,KAGANDO SCHOOL OF NURSING AND MIDWIFERY
2,KAMPALA CAMPUS
1,MAIN CAMPUS
3,MBALE UNIVERSITY COLLEGE
13,MILDMAY UGANDA
14,UCU SCHOOL OF MEDICINE
15,UCU SCHOOL Of DENTISTRY
6,UGANDA MARTYRS SEMINARY NAMUGONGO
7,UGANDA NURSING SCHOOL BWINDI
