campus_id_code,level_code,program_core_id,program_id_code,program_name
1,0,258,497,Certificate In Business Administration
1,0,192,304,Certificate In Child Development And Children's Ministry
1,0,460,1172,Certificate in Administrative Law
1,0,246,530,Certificate in Theology
1,0,7,7,Diploma In Procurement And Logistics Management
1,0,9,9,Diploma In Project Planning And Management
1,0,245,501,Diploma In Public Administration And Management
1,0,194,309,Diploma In Theology
1,0,195,311,Diploma In Theology (modular)
1,0,2,2,Diploma in Business Administration
1,0,212,357,Diploma in Child Development and Children's Ministry
1,0,55,86,Diploma in Entrepreneurship and Information Technology
1,0,210,351,Diploma in Guidance and Counselling
1,0,384,931,Diploma in Information Technology
1,0,407,967,Diploma in Journalism and Strategic Communication
1,0,419,881,Diploma in Law
1,0,218,364,Diploma in Nursing
1,0,78,142,Diploma in Social Work and Social Administration
1,0,437,926,Diploma in Visual Art and Design
1,0,356,672,Higher Education Certificate
1,0,360,677,Higher Education Certificate (Arts)
1,0,426,894,Higher Education Certificate (Arts)
1,0,361,678,Higher Education Certificate (Biological Sciences)
1,0,362,679,Higher Education Certificate (Physical Sciences)
1,0,427,895,Higher Education Certificate (Sciences)
1,0,443,945,Higher Education Certificate(Blended)
1,1,75,132,Bachelor Of Arts With Education
1,1,76,133,Bachelor Of Arts With Education
1,1,96,171,Bachelor Of Arts With Education
1,1,162,260,Bachelor Of Arts With Education
1,1,167,261,Bachelor Of Arts With Education
1,1,168,256,Bachelor Of Arts With Education
1,1,169,248,Bachelor Of Arts With Education
1,1,170,252,Bachelor Of Arts With Education
1,1,172,251,Bachelor Of Arts With Education
1,1,174,265,Bachelor Of Arts With Education
1,1,178,269,Bachelor Of Arts With Education
1,1,185,277,Bachelor Of Arts With Education
1,1,389,805,Bachelor Of Arts With Education
1,1,314,808,Bachelor Of Arts with Education
1,1,74,131,Bachelor Of Education
1,1,226,667,Bachelor Of Education
1,1,230,461,Bachelor Of Education
1,1,233,622,Bachelor Of Education
1,1,234,888,Bachelor Of Education
1,1,248,467,Bachelor Of Education
1,1,325,560,Bachelor Of Education
1,1,336,777,Bachelor Of Education
1,1,353,668,Bachelor Of Education
1,1,354,669,Bachelor Of Education
1,1,323,561,Bachelor Of Education (GEOG/CRE)
