campus_id_code,program_id_code,program_name
1,132,Bachelor Of Arts With Education
1,133,Bachelor Of Arts With Education
1,171,Bachelor Of Arts With Education
1,248,Bachelor Of Arts With Education
1,251,Bachelor Of Arts With Education
1,252,Bachelor Of Arts With Education
1,256,Bachelor Of Arts With Education
1,260,Bachelor Of Arts With Education
1,261,Bachelor Of Arts With Education
1,265,Bachelor Of Arts With Education
1,269,Bachelor Of Arts With Education
1,277,Bachelor Of Arts With Education
1,409,Bachelor Of Arts With Education
1,410,Bachelor Of Arts With Education
1,414,Bachelor Of Arts With Education
1,417,Bachelor Of Arts With Education
1,418,Bachelor Of Arts With Education
1,420,Bachelor Of Arts With Education
1,424,Bachelor Of Arts With Education
1,429,Bachelor Of Arts With Education
1,430,Bachelor Of Arts With Education
1,538,Bachelor Of Arts With Education
1,541,Bachelor Of Arts With Education
1,544,Bachelor Of Arts With Education
1,548,Bachelor Of Arts With Education
1,598,Bachelor Of Arts With Education
1,599,Bachelor Of Arts With Education
1,600,Bachelor Of Arts With Education
1,602,Bachelor Of Arts With Education
1,603,Bachelor Of Arts With Education
1,607,Bachelor Of Arts With Education
1,610,Bachelor Of Arts With Education
1,615,Bachelor Of Arts With Education
1,618,Bachelor Of Arts With Education
1,624,Bachelor Of Arts With Education
1,718,Bachelor Of Arts With Education
1,719,Bachelor Of Arts With Education
1,732,Bachelor Of Arts With Education
1,745,Bachelor Of Arts With Education
1,746,Bachelor Of Arts With Education
1,766,Bachelor Of Arts With Education
1,778,Bachelor Of Arts With Education
1,805,Bachelor Of Arts With Education
1,855,Bachelor Of Arts With Education
1,856,Bachelor Of Arts With Education
1,896,Bachelor Of Arts With Education
1,901,Bachelor Of Arts With Education
1,416,Bachelor Of Arts With Education X
1,542,Bachelor Of Arts with Education
1,808,Bachelor Of Arts with Education
1,131,Bachelor Of Education
1,344,Bachelor Of Education
1,363,Bachelor Of Education
1,368,Bachelor Of Education
1,372,Bachelor Of Education
1,376,Bachelor Of Education
1,377,Bachelor Of Education
1,378,Bachelor Of Education
1,379,Bachelor Of Education
1,381,Bachelor Of Education
1,461,Bachelor Of Education
1,467,Bachelor Of Education
1,560,Bachelor Of Education
1,566,Bachelor Of Education
1,586,Bachelor Of Education
1,621,Bachelor Of Education
1,622,Bachelor Of Education
1,627,Bachelor Of Education
1,628,Bachelor Of Education
1,636,Bachelor Of Education
1,639,Bachelor Of Education
1,640,Bachelor Of Education
1,645,Bachelor Of Education
1,646,Bachelor Of Education
1,647,Bachelor Of Education
1,667,Bachelor Of Education
1,668,Bachelor Of Education
1,669,Bachelor Of Education
1,777,Bachelor Of Education
1,793,Bachelor Of Education
1,813,Bachelor Of Education
1,826,Bachelor Of Education
1,835,Bachelor Of Education
1,836,Bachelor Of Education
1,838,Bachelor Of Education
1,841,Bachelor Of Education
1,842,Bachelor Of Education
1,845,Bachelor Of Education
1,846,Bachelor Of Education
1,847,Bachelor Of Education
1,850,Bachelor Of Education
1,851,Bachelor Of Education
1,859,Bachelor Of Education
1,860,Bachelor Of Education
1,861,Bachelor Of Education
1,864,Bachelor Of Education
1,868,Bachelor Of Education
1,888,Bachelor Of Education
1,375,Bachelor Of Education (English/Literature)
1,631,Bachelor Of Education (English/Literature)
1,561,Bachelor Of Education (GEOG/CRE)
1,625,Bachelor Of Education (GEOG/CRE)
1,643,Bachelor Of Education (GEOG/CRE)
1,880,Bachelor Of Education (GEOG/CRE)
1,373,Bachelor Of Education (Geography/CRE)
1,425,Bachelor Of Education (Geography/CRE)
1,865,Bachelor Of Education (Geography/CRE)
1,427,Bachelor Of Education (MATH/GEOG)
1,629,Bachelor Of Education (MATH/GEOG)
1,649,Bachelor Of Education (MATH/GEOG)
1,731,Bachelor Of Education (MATH/GEOG)
1,752,Bachelor Of Education (MATH/GEOG)
1,829,Bachelor Of Education (Math/Sports Science)
1,794,Bachelor Of Education (Primary)(Art/English)
1,471,Bachelor Of Education (Primary)(CRE/SST)
1,359,Bachelor Of Education (Primary)(English/Kiswahili)
1,371,Bachelor Of Education (Primary)(Math/Physical Science)
1,370,Bachelor Of Education (Primary)(Mathematics/Sports Science)
1,648,Bachelor Of Education (Primary)(Mathematics/Sports Science)
1,350,Bachelor Of Education (Primary)(Music DM)
1,345,Bachelor Of Education (Secondary)(Agriculture Double Main)
1,883,Bachelor Of Education (Secondary)(Agriculture Double Main)
1,891,Bachelor Of Education (Secondary)(Agriculture Double Main)
1,977,Bachelor Of Education (Secondary)(Agriculture/ICT)
1,465,Bachelor Of Education (Secondary)(Art - Double Main)
1,626,Bachelor Of Education (Secondary)(Art - Double Main)
1,762,Bachelor Of Education (Secondary)(Art - Double Main)
1,858,Bachelor Of Education (Secondary)(Art - Double Main)
1,763,Bachelor Of Education (Secondary)(Art DM)
1,765,Bachelor Of Education (Secondary)(Art DM)
1,849,Bachelor Of Education (Secondary)(Art DM)
1,885,Bachelor Of Education (Secondary)(Biology/Computer)
1,675,Bachelor Of Education (Secondary)(Biology/Math)
1,366,Bachelor Of Education (Secondary)(Business Studies)
1,470,Bachelor Of Education (Secondary)(CRE/English)
1,839,Bachelor Of Education (Secondary)(CRE/English)
1,892,Bachelor Of Education (Secondary)(Chemistry/Computer)
1,666,Bachelor Of Education (Secondary)(Economics/Geography)
1,869,Bachelor Of Education (Secondary)(Geography/Entrepreneurship)
1,365,Bachelor Of Education (Secondary)(Geography/Math)
1,428,Bachelor Of Education (Secondary)(Geography/Math)
1,469,Bachelor Of Education (Secondary)(Geography/Math)
1,852,Bachelor Of Education (Secondary)(Geography/Math)
1,893,Bachelor Of Education (Secondary)(History/Luganda)
1,348,Bachelor Of Education (Secondary)(Kiswahili Double Main)
1,886,Bachelor Of Education (Secondary)(Math/Computer)
1,889,Bachelor Of Education (Secondary)(Math/Computer)
1,976,Bachelor Of Education (Secondary)(Math/Computer)
1,736,Bachelor Of Education (Secondary)(Math/Physics)
1,795,Bachelor Of Education (Secondary)(Mathematics/Economics)
1,827,Bachelor Of Education (Secondary)(Mathematics/Entrepreneurship)
1,267,Bachelor Of Education (Secondary)(Mathematics/Physics)
1,423,Bachelor Of Education (Secondary)(Mathematics/Physics)
1,554,Bachelor Of Education 1
1,564,Bachelor Of Education 1
1,563,Bachelor Of Education 10
1,562,Bachelor Of Education 11
1,125,Bachelor Of Education 2
1,129,Bachelor Of Education 2
